Label	Comment	Num_Hops	PATH
RedirectedUntilNotFound	mpi-inf.mpg.de	3	['https://www.mpi-inf.mpg.de/yago/resource/Boardman_River', 'https://www.mpi-inf.mpg.de/departments/databases-and-information-systems/research/yago-naga/yago/downloads/Boardman_River', 'https://www.mpi-inf.mpg.de/departments/databases-and-information-systems/research/yago-naga/yago/downloads/boardman_river']
RedirectedUntilLanded	es.dbpedia.org	3	['https://es.dbpedia.org/resource/Plantilla:Geodatos_Prefectura_de_Okinawa', 'http://es.dbpedia.org/page/Plantilla:Geodatos_Prefectura_de_Okinawa', 'https://es.dbpedia.org/page/Plantilla:Geodatos_Prefectura_de_Okinawa']
RedirectedUntilLanded	wikidata.org	3	['https://www.wikidata.org/entity/Q4851852', 'https://www.wikidata.org/wiki/Special:EntityData/Q4851852', 'https://www.wikidata.org/wiki/Special:EntityData/Q4851852.json']
RedirectedUntilLanded	multiple	3	['https://d-nb.info/gnd/113050607', 'https://d-nb.info/gnd/113050607/about/html', 'https://portal.dnb.de/opac.htm?method=simpleSearch&cqlMode=true&query=nid%3D113050607']
RedirectedUntilLanded	multiple	3	['https://d-nb.info/gnd/178094226', 'https://d-nb.info/gnd/178094226/about/html', 'https://portal.dnb.de/opac.htm?method=simpleSearch&cqlMode=true&query=nid%3D178094226']
RedirectedUntilLanded	wikidata.org	3	['https://www.wikidata.org/entity/Q5659506', 'https://www.wikidata.org/wiki/Special:EntityData/Q5659506', 'https://www.wikidata.org/wiki/Special:EntityData/Q5659506.json']
RedirectedUntilLanded	eu.dbpedia.org	3	['https://eu.dbpedia.org/resource/%C3%89cole_(Savoia)', 'http://eu.dbpedia.org/page/%C3%89cole_(Savoia)', 'https://eu.dbpedia.org/page/%C3%89cole_(Savoia)']
RedirectedUntilLanded	dbpedia.org	6	['http://dbpedia.org/page/Se%C3%AE_Taishogun', 'https://dbpedia.org/page/Se%C3%AE_Taishogun', 'http://dbpedia.org/resource/Shogun', 'https://dbpedia.org/resource/Shogun', 'http://dbpedia.org/page/Shogun', 'https://dbpedia.org/page/Shogun']
RedirectedUntilLanded	ja.dbpedia.org	4	['http://ja.dbpedia.org/resource/Category:%E7%A5%9E%E5%A5%88%E5%B7%9D%E7%9C%8C%E3%81%AE%E5%B9%BC%E7%A8%9A%E5%9C%92', 'https://ja.dbpedia.org/resource/Category:%E7%A5%9E%E5%A5%88%E5%B7%9D%E7%9C%8C%E3%81%AE%E5%B9%BC%E7%A8%9A%E5%9C%92', 'http://ja.dbpedia.org/page/Category:%E7%A5%9E%E5%A5%88%E5%B7%9D%E7%9C%8C%E3%81%AE%E5%B9%BC%E7%A8%9A%E5%9C%92', 'https://ja.dbpedia.org/page/Category:%E7%A5%9E%E5%A5%88%E5%B7%9D%E7%9C%8C%E3%81%AE%E5%B9%BC%E7%A8%9A%E5%9C%92']
RedirectedUntilLanded	wikidata.org	3	['https://www.wikidata.org/entity/Q10372123', 'https://www.wikidata.org/wiki/Special:EntityData/Q10372123', 'https://www.wikidata.org/wiki/Special:EntityData/Q10372123.json']
RedirectedUntilLanded	dbpedia.org	4	['http://dbpedia.org/resource/Birchwood_(town),_Wisconsin', 'https://dbpedia.org/resource/Birchwood_(town),_Wisconsin', 'http://dbpedia.org/page/Birchwood_(town),_Wisconsin', 'https://dbpedia.org/page/Birchwood_(town),_Wisconsin']
RedirectedUntilLanded	multiple	4	['https://d-nb.info/gnd/141056762', 'https://d-nb.info/gnd/116991836', 'https://d-nb.info/gnd/116991836/about/html', 'https://portal.dnb.de/opac.htm?method=simpleSearch&cqlMode=true&query=nid%3D116991836']
RedirectedUntilLanded	bibsonomy.org	3	['https://bibsonomy.org/uri/bibtexkey/journals/icl/DenisPR14/dblp', 'https://www.bibsonomy.org/uri/bibtexkey/journals/icl/DenisPR14/dblp', 'https://www.bibsonomy.org/bibtexkey/journals/icl/DenisPR14/dblp']
RedirectedUntilLanded	bibsonomy.org	3	['https://bibsonomy.org/uri/bibtexkey/conf/semco/ChakrabortyH10/dblp', 'https://www.bibsonomy.org/uri/bibtexkey/conf/semco/ChakrabortyH10/dblp', 'https://www.bibsonomy.org/bibtexkey/conf/semco/ChakrabortyH10/dblp']
RedirectedUntilLanded	dbpedia.org	3	['https://dbpedia.org/resource/Sriram_Chauhan', 'http://dbpedia.org/page/Sriram_Chauhan', 'https://dbpedia.org/page/Sriram_Chauhan']
