Subject	Object	Annotation
http://lod.b3kat.de/isbn/0415044472	http://lod.b3kat.de/page/isbn/0415044472	updated_namespace
https://ld.zdb-services.de/data/2121871-7.html	https://zdb-katalog.de/title.xhtml?zdbid=2121871-7	other
https://www.wikidata.org/entity/Q924019	https://www.wikidata.org/wiki/Special:EntityData/Q924019	updated_namespace
https://d-nb.info/gnd/140614842	https://d-nb.info/gnd/140614842/about/html	other
http://bibsonomy.org/uri/bibtexkey/journals/cviu/BoxerM00/dblp	https://bibsonomy.org/uri/bibtexkey/journals/cviu/BoxerM00/dblp	http->https
https://dbpedia.org/page/FSS_Flats_Sequencing_System_(USPS)	http://dbpedia.org/resource/Flats_Sequencing_System	other
http://wifo5-03.informatik.uni-mannheim.de/flickrwrappr/photos/Tops_with_Pops	http://wbsg.informatik.uni-mannheim.de/flickrwrappr/photos/Tops_with_Pops	other
http://viaf.org/viaf/18225225	https://viaf.org/viaf/18225225	http->https
https://www.wikidata.org/wiki/Special:EntityData/Q2358032	https://www.wikidata.org/wiki/Special:EntityData/Q2358032.json	+json
http://ja.dbpedia.org/resource/Category:User_ka-2	https://ja.dbpedia.org/resource/Category:User_ka-2	http->https
http://mpii.de/yago/resource/Miriam_Mahdaviani	https://www.mpi-inf.mpg.de/yago/resource/Miriam_Mahdaviani	other
http://www.wikidata.org/entity/Q12682581	https://www.wikidata.org/entity/Q12682581	http->https
https://ja.dbpedia.org/resource/%E7%AC%AC29%E6%BD%9C%E6%B0%B4%E9%9A%8A%E7%BE%A4_(U%E3%83%9C%E3%83%BC%E3%83%88)	http://ja.dbpedia.org/page/%E7%AC%AC29%E6%BD%9C%E6%B0%B4%E9%9A%8A%E7%BE%A4_(U%E3%83%9C%E3%83%BC%E3%83%88)	dbpedia_resource_to_page
https://dbpedia.org/resource/Manga_convention	http://dbpedia.org/page/Manga_convention	dbpedia_resource_to_page
http://dbpedia.org/page/C.J_Wright	https://dbpedia.org/page/C.J_Wright	http->https
http://fr.dbpedia.org/resource/Y%C3%BCeh	http://fr.dbpedia.org/page/Y%C3%BCeh	dbpedia_resource_to_page
https://viaf.org/viaf/88275931	https://viaf.org/viaf/88275931/	other
https://wikidata.org/entity/Q7164810	https://www.wikidata.org/entity/Q7164810	other
http://ja.dbpedia.org/resource/%E8%BB%8A%E6%A0%BC	https://ja.dbpedia.org/resource/%E8%BB%8A%E6%A0%BC	http->https
https://wikidata.org/entity/Q5024970	https://www.wikidata.org/entity/Q5024970	other
https://ja.dbpedia.org/resource/%E3%83%99%E3%83%B3%E3%83%88%E3%83%AC%E3%83%BC%E3%83%BB%E3%83%9F%E3%83%A5%E3%83%AB%E3%82%B6%E3%83%B3%E3%83%8C_(2010)	http://ja.dbpedia.org/page/%E3%83%99%E3%83%B3%E3%83%88%E3%83%AC%E3%83%BC%E3%83%BB%E3%83%9F%E3%83%A5%E3%83%AB%E3%82%B6%E3%83%B3%E3%83%8C_(2010)	dbpedia_resource_to_page
https://wikidata.org/entity/Q16823551	https://www.wikidata.org/entity/Q16823551	other
https://www.wikidata.org/wiki/Special:EntityData/Q2518351	https://www.wikidata.org/wiki/Special:EntityData/Q2518351.json	+json
