2	31381363
3	9685324
4	1978748
5	998994
6	639311
7	457854
8	342633
9	371573
10	336073
11	492533
12	371883
13	285398
14	229207
15	183901
16	149044
17	123015
18	101445
19	85134
20	71265
21	61605
22	52999
23	47211
24	41869
25	37600
26	33913
27	30512
28	27244
29	24833
30	22599
31	20673
32	19513
33	18629
34	17870
35	17059
36	16643
37	16060
38	15309
39	14377
40	13569
41	12406
42	11365
43	10314
44	9494
45	8663
46	7633
47	7203
48	6613
49	6478
50	6118
51	6124
52	6026
53	5804
54	5579
55	5155
56	4832
57	4652
58	4390
59	4057
60	4058
61	3689
62	3522
63	3346
64	3127
65	2975
66	2675
67	2569
68	2411
69	2317
70	2168
71	2029
72	1881
73	1782
74	1763
75	1698
76	1540
77	1615
78	1485
79	1441
80	1467
81	1321
82	1279
83	1257
84	1203
85	1167
86	1211
87	1131
88	1003
89	1082
90	990
91	961
92	941
93	860
94	924
95	850
96	837
97	807
98	730
99	776
100	738
101	717
102	683
103	652
104	659
105	626
106	562
107	598
108	552
109	573
110	603
111	823
112	717
113	643
114	514
115	537
116	566
117	542
118	449
119	429
120	412
121	364
122	357
123	344
124	377
125	382
126	350
127	331
128	368
129	331
130	292
131	297
132	242
133	274
134	253
135	252
136	256
137	235
138	239
139	225
140	238
141	216
142	235
143	205
144	195
145	202
146	167
147	157
148	162
149	175
150	159
151	135
152	161
153	144
154	128
155	128
156	134
157	135
158	116
159	112
160	125
161	91
162	114
163	107
164	111
165	106
166	110
167	98
168	103
169	107
170	96
171	104
172	105
173	103
174	80
175	87
176	74
177	77
178	93
179	128
180	114
181	126
182	121
183	106
184	113
185	115
186	102
187	82
188	85
189	90
190	69
191	79
192	85
193	76
194	57
195	72
196	60
197	46
198	57
199	51
200	54
201	50
202	45
203	37
204	49
205	37
206	55
207	54
208	45
209	46
210	47
211	47
212	57
213	46
214	54
215	43
216	53
217	39
218	44
219	39
220	37
221	38
222	39
223	46
224	35
225	32
226	35
227	30
228	36
229	27
230	29
231	31
232	26
233	29
234	35
235	33
236	43
237	38
238	28
239	25
240	34
241	26
242	25
243	20
244	32
245	24
246	29
247	21
248	18
249	19
250	24
251	21
252	23
253	30
254	19
255	16
